categoritywysogion	-1.0	1
ganilatad	-1.0	1
gwehillion	0.25229758	11
ocwltiwr	0.25624546	17
ynydiadau	0.25624555	13
ynydiad	0.26393732	21
deuoliaethol	0.27133742	17
diflannun	0.27595907	6
brwselprifddinas	0.27908087	20
crifolen	0.29203615	17
crifolen	0.29203615	17
uhtenzoittud	0.32170093	17
withstand	0.33963063	96
einglsacsoniaid	0.34233397	5
this is simply	0.34917328	89
cateleiddio	0.3502341	12
unusual	0.3507816	99
unusual	0.3507816	99
was thought	0.35118777	96
archoffeiriades	0.35385144	51
between them	0.35412583	97
kept	0.35425144	100
categorirhyw	0.35887402	34
attack	0.35975915	99
attack	0.35975915	99
created	0.3601872	99
created	0.3601872	99
created	0.3601872	99
created	0.3601872	99
bronnaun	0.36099917	9
strange	0.36161244	98
red croated	0.36205617	97
cydffactorau	0.36265993	21
attacked	0.36284202	98
attacked	0.36284202	98
aimed	0.36298126	98
swcwbws	0.36348838	94
shown	0.363718	94
shown	0.363718	94
was created	0.3655562	99
controlled	0.3656289	91
controlled	0.3656289	91
ethnogrefyddol	0.366431	9
things	0.3669006	94
things	0.3669006	94
amazing	0.3673229	89
asgwrncefn	0.36801213	87
interesting	0.36846244	98
interesting	0.36846244	98
help the	0.36864734	99
norwywyr	0.36911482	18
entirely	0.369124	98
protective	0.36934358	93
organism	0.37026754	97
categorimarwolaethau	0.37032834	93
contrasting	0.3703916	94
hard	0.37095106	98
hard	0.37095106	98
hard	0.37095106	98
hard	0.37095106	98
deaths	0.37116653	95
deaths	0.37116653	95
stabilize	0.3714466	96
than the	0.37248442	99
joined	0.37386733	95
melan	0.37582585	93
pictures	0.3759256	96
pictures	0.3759256	96
through	0.37602016	91
wet	0.3763993	95
killed	0.37640274	98
killed	0.37640274	98
killed	0.37640274	98
killed	0.37640274	98
killed	0.37640274	98
provide	0.37653047	100
provide	0.37653047	100
uses the	0.37670758	96
categorillywodraeth	0.37675598	19
wyddelig	0.37676087	88
separation	0.37766722	95
with their	0.3776919	96
reconstructed	0.37774754	93
was removed	0.37795585	98
originally	0.37822908	91
originally	0.37822908	91
categoridiodydd	0.3783978	89
unfamiliar	0.37851852	99
categoricrefydd	0.37913984	50
separate	0.3792416	97
dropped	0.37977165	96
dropped	0.37977165	96
followed	0.3798165	94
followed	0.3798165	94
followed	0.3798165	94
deyrnasaid	0.37999654	76
tensions	0.38017663	99
used the	0.38034	97
considers	0.3813119	97
since a	0.3814643	98
several	0.3816815	99
thumb | left | the	0.38187385	97
artist	0.38205472	96
artist	0.38205472	96
category media	0.38212773	99
uly	0.382646	95
large	0.3833046	96
large	0.3833046	96
large	0.3833046	96
large	0.3833046	96
roughly	0.38340068	99
flint	0.38346314	98
flint	0.38346314	98
keep the	0.38364655	96
keep the	0.38364655	96
unrhyw	0.38373348	91
of red	0.38384187	95
extracted	0.38410035	97
defeated	0.3841343	92
defeated	0.3841343	92
defeated	0.3841343	92
offered	0.3842423	99
neopanism	0.38469195	36
approximately	0.3848238	95
approximately	0.3848238	95
overwhelming	0.385112	98
categorigwyddoniaeth	0.38532466	74
surrounded	0.38558	96
surrounded	0.38558	96
surrounded	0.38558	96
teyrnasaid	0.38560247	78
was able	0.3856872	99
or the	0.3858076	95
categoridaeareg	0.38614675	34
rep	0.3861555	96
rich	0.38618708	97
rich	0.38618708	97
rich	0.38618708	97
composed	0.38639113	97
composed	0.38639113	97
composed	0.38639113	97
chose	0.3864591	95
huge	0.38670468	95
prophet	0.38677034	93
longer	0.38693285	95
we call	0.38712537	94
we call	0.38712537	94
dependence	0.38716826	96
being aimed	0.38745588	96
categorigwrthdaro	0.38773602	77
of i	0.38781732	92
remained	0.38816375	100
amgylchynur	0.38820618	26
carefully	0.38824725	97
discoveries	0.38830027	100
uncertain	0.38843253	98
species	0.38857388	98
species	0.38857388	98
species	0.38857388	98
species	0.38857388	98
holiday category	0.3888759	93
based	0.38890147	98
based	0.38890147	98
based	0.38890147	98
artists	0.38902742	96
artists	0.38902742	96
obtained	0.38914654	96
wedii	0.3893325	91
disastrous	0.3895234	97
breeding	0.38956583	95
categoriamgylchedd	0.38987315	85
turned	0.38990185	97
turned	0.38990185	97
turned	0.38990185	97
turned	0.38990185	97
designed	0.3900437	98
designed	0.3900437	98
earlier	0.39006084	97
earlier	0.39006084	97
earlier	0.39006084	97
earlier	0.39006084	97
resumed	0.39028996	98
resumed	0.39028996	98
known	0.39041364	98
known	0.39041364	98
known	0.39041364	98
known	0.39041364	98
known	0.39041364	98
known	0.39041364	98
animated	0.39074096	71
powered	0.39112204	97
categorihylifau	0.39211637	99
including	0.392137	94
categoriprifddinasoedd	0.39256763	93
depending	0.39258704	98
bendigeidfran	0.39278752	94
dirty	0.39298505	98
in contrast	0.3934333	99
perceived	0.39344016	95
thumb|right|px|the	0.39361432	97
collected	0.3941334	98
among	0.39424753	89
among	0.39424753	89
among	0.39424753	89
among	0.39424753	89
nasty	0.39436716	92
killing	0.3943739	96
categoricyfrifiaduro	0.39449304	83
with the	0.39471257	100
faeces	0.39478043	96
ity	0.3953923	96
