stuck in	0.34345192	97
its taste	0.3447672	98
solely	0.34789234	94
sized	0.34968302	97
(i believe this is japanese)	0.3496896	98
poisoned	0.35136643	93
made from	0.35203707	98
cdc initially did not own a formal name for this disease; that aids was referred by the name of the associated diseases, for example, is lymphadenopathy. are also widely referred to a literary language based on malay roots (where indonesian is one tueunannya). as a level of analysis is often referred to as unit-level state level, because the level of analysis is put an explanation at the state level, not the international system.	0.35295767	13
be abandoned	0.35459042	97
as much as this	0.3552907	95
atma	0.3569392	91
facing	0.35778195	97
facing	0.35778195	97
benefits that can be taken	0.3582399	90
attack	0.35975915	99
attack	0.35975915	99
attack	0.35975915	99
attack	0.35975915	99
created	0.3601872	99
similiar	0.3610348	93
its seed	0.36159936	98
strange	0.36161244	98
addictive	0.36197242	97
discarded	0.3624445	99
discarded	0.3624445	99
gede	0.3635112	93
as high as	0.36370078	94
shown	0.363718	94
shown	0.363718	94
shown	0.363718	94
typically	0.36389664	98
habbit	0.3642212	98
be required	0.3648379	100
its shares	0.365199	99
controlled	0.3656289	91
controlled	0.3656289	91
its weight	0.36659157	98
be passed	0.36691767	97
animism	0.36782983	99
to be drained or dried out	0.36843643	96
interesting	0.36846244	98
its production	0.36866477	98
entirely	0.369124	98
organism	0.37026754	97
horrifying	0.37088913	94
hard	0.37095106	98
hard	0.37095106	98
peculiarity	0.37138587	94
one of	0.37161377	97
simultaneously	0.3716212	100
gandut	0.37225538	94
to retreat	0.37325317	96
joined	0.37386733	95
cultured	0.37469977	96
indicate	0.3749155	98
indicate	0.3749155	98
watched	0.37526262	97
detection	0.37533352	95
be invaded	0.37536126	98
pictures	0.3759256	96
through	0.37602016	91
through	0.37602016	91
in appearance	0.37613967	94
ordered	0.37622806	92
ordered	0.37622806	92
ordered	0.37622806	92
wet	0.3763993	95
killed	0.37640274	98
replaced by	0.37642086	96
provide	0.37653047	100
provide	0.37653047	100
provide	0.37653047	100
experimental	0.37668648	98
a wide	0.37689537	96
resulted	0.37738836	97
resulted	0.37738836	97
observed	0.37764758	97
observed	0.37764758	97
finishing	0.37765956	99
have a right	0.3778775	97
his work	0.37798643	96
is described	0.3779932	98
accidental	0.3780638	91
originally	0.37822908	91
heated	0.3785846	95
its glory	0.37889004	97
excess	0.3789337	99
it have	0.37895402	99
separate	0.3792416	97
be invited	0.379557	98
weaken	0.37969244	97
dropped	0.37977165	96
followed	0.3798165	94
its members	0.3800976	96
popping up	0.38017464	93
its country	0.38020492	97
nation category	0.38020843	93
excessive	0.38026336	99
brought	0.38037002	99
it is best to	0.38083836	98
dissociation	0.3809654	96
manipulation	0.3812134	95
rely	0.38150486	96
artist	0.38205472	96
artist	0.38205472	96
artist	0.38205472	96
its/his/her existence	0.38216993	100
were taken	0.38246548	98
melting	0.3826176	96
melting	0.3826176	96
be bought	0.3832917	99
disadvantaged	0.3838028	95
reversed	0.383973	83
reversed	0.383973	83
extracted	0.38410035	97
offered	0.3842423	99
occasionally	0.3843562	96
it neighbor	0.38468462	93
approximately	0.3848238	95
be used	0.38525033	100
be used	0.38525033	100
be returned	0.3854025	95
surrounded	0.38558	96
made on	0.38573924	95
contained	0.38575733	96
contained	0.38575733	96
comfortable	0.38607058	98
the deceased	0.3860783	100
stop by	0.3861259	93
rich	0.38618708	97
that is	0.38628572	98
that is	0.38628572	98
that is	0.38628572	98
composed	0.38639113	97
because of that	0.3865438	96
prophet	0.38677034	93
prophet	0.38677034	93
utsman	0.38719636	96
in-depth	0.38750505	94
lead to	0.38767987	99
islamic confession	0.38776714	100
carefully	0.38824725	97
his/her left	0.3882581	96
discoveries	0.38830027	100
species	0.38857388	98
species	0.38857388	98
species	0.38857388	98
its color	0.38874513	98
based	0.38890147	98
selective	0.38899112	99
be marked	0.38902074	100
obtained	0.38914654	96
obtained	0.38914654	96
obtained	0.38914654	96
obtained	0.38914654	96
focus to	0.38932067	95
breeding	0.38956583	95
breeding	0.38956583	95
from it	0.38969457	99
its government	0.38975295	98
pee	0.38998866	97
designed	0.3900437	98
the holder of the	0.3902608	95
surawisesa	0.3902837	92
the singing	0.39032483	94
known	0.39041364	98
known	0.39041364	98
known	0.39041364	98
known	0.39041364	98
instructed	0.390836	96
pushed	0.3908972	96
hasten	0.39093658	95
customarily	0.39097002	97
have seed	0.39097682	99
adapted	0.39153326	97
difficulty	0.39159542	97
difficulty	0.39159542	97
concluded	0.39162335	97
criminal act	0.39171803	96
obstacle	0.3917526	96
obstacle	0.3917526	96
be discussed	0.39183143	97
including	0.392137	94
including	0.392137	94
in the face of	0.39228263	99
embrace	0.3924189	99
trick	0.39242542	93
suiton	0.39244786	84
penetration	0.39247245	94
headed by	0.39263242	99
its food	0.392664	97
helped	0.39299136	100
it looks like	0.39313063	97
stretch	0.39334428	20
in contrast	0.3934333	99
colouration	0.39343905	96
perceived	0.39344016	95
based on	0.39354834	97
based on	0.39354834	97
based on	0.39354834	97
based on	0.39354834	97
abnormal	0.39380893	100
